hive	time	value
R11	1569801600000	24.835
R11	1569715200000	24.495
R11	1569628800000	27.047
R11	1569542400000	27.622
R11	1569456000000	28.472
R11	1569369600000	30.603
R11	1569283200000	32.011
R11	1569196800000	33.561
R11	1569110400000	34.828
R11	1569024000000	33.809
R11	1568937600000	32.794
R11	1568851200000	30.819
R11	1568764800000	28.438
R11	1568678400000	27.232
R11	1568592000000	27.967
R11	1568505600000	28.477
R11	1568419200000	31.051
R11	1568332800000	33.361
R11	1568246400000	38.562
R11	1568160000000	45.906
R11	1568073600000	53.349
R11	1567987200000	60.267
R11	1567900800000	67.748
R11	1567814400000	73.74
R11	1567728000000	80.079
R11	1567641600000	83.488
R11	1567555200000	83.013
R11	1567468800000	79.772
R11	1567382400000	75.933
R11	1567296000000	70.548
R11	1567209600000	65.666
R11	1567123200000	58.727
R11	1567036800000	52.47
R11	1566950400000	48.086
R11	1566864000000	46.153
R11	1566777600000	45.195
R11	1566691200000	45.548
R11	1566604800000	45.245
R11	1566518400000	46.453
R11	1566432000000	47.385
